id,lat,lon,city,state
76860,19.170916,73.081859,Thane,Maharashtra
76862,19.1744,73.085893,Thane,Maharashtra
76868,19.178514,72.846166,Mumbai,Maharashtra
76893,19.195637,72.847037,Mumbai,Maharashtra
76901,19.20273,72.976061,Thane,Maharashtra
76912,19.215453,72.83677,Mumbai,Maharashtra
76915,19.217649,72.982239,Thane,Maharashtra
76916,19.217907,72.851434,Mumbai,Maharashtra
76919,19.220417,72.865239,Mumbai,Maharashtra
76934,19.238316,73.126528,Thane,Maharashtra
77067,19.465743,76.438608,Aurangabad,Maharashtra
77131,19.618376,84.939106,Berhampur,Odisha
77241,19.840276,75.256517,Aurangabad,Maharashtra
77272,19.870288,75.326268,Aurangabad,Maharashtra
77280,19.873844,75.329266,Aurangabad,Maharashtra
77312,19.911005,75.238168,Aurangabad,Maharashtra
77315,19.91365,75.352134,Aurangabad,Maharashtra
77334,19.940956,79.133062,Chandrapur,Maharashtra
77335,19.941198,79.119759,Chandrapur,Maharashtra
77339,19.947249,73.826128,Nashik,Maharashtra
77347,19.954085,73.83637,Nashik,Maharashtra
77350,19.958996,73.75592,Nashik,Maharashtra
77351,19.959695,79.296204,Chandrapur,Maharashtra
77361,19.97248,79.286998,Chandrapur,Maharashtra
77371,19.983166,73.845025,Nashik,Maharashtra
77373,19.983781,73.844555,Nashik,Maharashtra
77375,19.985036,73.844861,Nashik,Maharashtra
77391,19.99482,73.762783,Nashik,Maharashtra
77429,20.037238,73.803923,Nashik,Maharashtra
77437,20.054489,78.965486,Chandrapur,Maharashtra
77444,20.063026,78.961142,Chandrapur,Maharashtra
77473,20.105475,77.722394,Amravati,Maharashtra
77479,20.116826,75.465534,Aurangabad,Maharashtra
77520,20.178557,85.857823,Cuttack,Odisha
77549,20.222761,85.844555,Cuttack,Odisha
77555,20.237751,85.811485,Bhubhaneswar,Odisha
77570,20.257461,85.840979,Bhubhaneswar,Odisha
77573,20.259423,75.778462,Aurangabad,Maharashtra
77575,20.26237,85.844886,Cuttack,Odisha
77576,20.263675,85.834587,Bhubhaneswar,Odisha
77577,20.264453,85.832213,Bhubhaneswar,Odisha
77583,20.269251,85.820706,Bhubhaneswar,Odisha
77587,20.270496,85.828861,Bhubhaneswar,Odisha
77592,20.276598,85.843799,Bhubhaneswar,Odisha
77595,20.278924,85.828123,Cuttack,Odisha
77596,20.279109,73.000626,Dadra & Nagar Haveli,Gujarat
77600,20.281,72.92297,Valsad,Gujarat
77635,20.326075,85.820182,Cuttack,Odisha
77671,20.375541,78.111561,Amravati,Maharashtra
77687,20.397335,78.110814,Amravati,Maharashtra
77860,20.616777,72.934239,Valsad,Gujarat
78054,20.901781,70.38421,Junagadh,Gujarat
78063,20.910068,74.774674,Nashik,Maharashtra
78067,20.913984,70.627646,Junagadh,Gujarat
78072,20.918086,74.768426,Dhule,Maharashtra
78187,21.053529,79.03948,Nagpur,Maharashtra
78225,21.104893,79.10274,Nagpur,Maharashtra
78227,21.10506,79.10264,Nagpur,Maharashtra
78229,21.105153,79.104305,Nagpur,Maharashtra
78234,21.107036,79.081198,Nagpur,Maharashtra
78242,21.110083,79.001094,Nagpur,Maharashtra
78244,21.111174,79.067893,Nagpur,Maharashtra
78249,21.112983,79.049339,Nagpur,Maharashtra
78250,21.113193,73.404941,Surat,Gujarat
78251,21.113436,79.04377,Nagpur,Maharashtra
78258,21.117335,79.017151,Nagpur,Maharashtra
78260,21.117847,79.016303,Nagpur,Maharashtra
78270,21.125881,79.058693,Nagpur,Maharashtra
78273,21.128994,79.123153,Nagpur,Maharashtra
78275,21.131031,79.077957,Nagpur,Maharashtra
78288,21.137442,79.066759,Nagpur,Maharashtra
78297,21.142271,79.202284,Nagpur,Maharashtra
78302,21.144224,79.097601,Nagpur,Maharashtra
78308,21.145903,79.067907,Nagpur,Maharashtra
78309,21.145995,78.985154,Nagpur,Maharashtra
78310,21.146513,79.06148,Nagpur,Maharashtra
78311,21.14671,79.064052,Nagpur,Maharashtra
78330,21.151608,72.84346,Surat,Gujarat
78332,21.152482,79.095985,Nagpur,Maharashtra
78340,21.154057,70.284956,Junagadh,Gujarat
78341,21.154207,72.74179,Surat,Gujarat
78351,21.158811,72.806491,Surat,Gujarat
78366,21.168015,72.961684,Surat,Gujarat
78369,21.169101,72.794945,Surat,Gujarat
78370,21.169183,72.849299,Surat,Gujarat
78381,21.171265,72.840037,Surat,Gujarat
78384,21.173167,72.827096,Surat,Gujarat
